,id,type
1,Cluster_11565,miRNA
2,Cluster_12081,miRNA
3,Cluster_12083,miRNA
4,Cluster_12087,miRNA
5,Cluster_14146,miRNA
6,Cluster_14165,miRNA
7,Cluster_14532,miRNA
8,Cluster_14610,miRNA
9,Cluster_14633,miRNA
10,Cluster_15097,miRNA
11,Cluster_17192,miRNA
12,Cluster_1832,miRNA
13,Cluster_1865,miRNA
14,Cluster_2372,miRNA
15,Cluster_2500,miRNA
16,Cluster_3109,miRNA
17,Cluster_3301,miRNA
18,Cluster_4752,miRNA
19,Cluster_5516,miRNA
20,Cluster_5685,miRNA
21,Cluster_9420,miRNA
22,Cluster_9706,miRNA
23,Cluster_9786,miRNA
24,Cluster_14605,miRNA
25,Cluster_10452,miRNA
26,Cluster_13327,miRNA
27,Cluster_5603,miRNA
28,FUN_003719,gene
29,FUN_004024,gene
30,FUN_005154,gene
31,FUN_006930,gene
32,FUN_012341,gene
33,FUN_015354,gene
34,FUN_023055,gene
35,FUN_022874,gene
36,FUN_027811,gene
37,FUN_032889,gene
38,FUN_029878,gene
39,FUN_029950,gene
40,FUN_030073,gene
41,FUN_036214,gene
42,FUN_037680,gene
43,FUN_038783,gene
44,FUN_000572,gene
45,FUN_004105,gene
46,FUN_005146,gene
47,FUN_009832,gene
48,FUN_010040,gene
49,FUN_009214,gene
50,FUN_009360,gene
51,FUN_009600,gene
52,FUN_015199,gene
53,FUN_016908,gene
54,FUN_016943,gene
55,FUN_018891,gene
56,FUN_019259,gene
57,FUN_026047,gene
58,FUN_026284,gene
59,FUN_026462,gene
60,FUN_027750,gene
61,FUN_027753,gene
62,FUN_028413,gene
63,FUN_028416,gene
64,FUN_028435,gene
65,FUN_028665,gene
66,FUN_034037,gene
67,FUN_034086,gene
68,FUN_039566,gene
69,FUN_039919,gene
70,FUN_042063,gene
71,FUN_028343,gene
72,FUN_012750,gene
73,FUN_018795,gene
74,FUN_001181,gene
75,FUN_004568,gene
76,FUN_006329,gene
77,FUN_009308,gene
78,FUN_034780,gene
79,FUN_041277,gene
80,FUN_004156,gene
81,FUN_039363,gene
82,FUN_040050,gene
83,FUN_031246,gene
84,FUN_000268,gene
85,FUN_000269,gene
86,FUN_004026,gene
87,FUN_004244,gene
88,FUN_004824,gene
89,FUN_008636,gene
90,FUN_008102,gene
91,FUN_013137,gene
92,FUN_014717,gene
93,FUN_017237,gene
94,FUN_032998,gene
95,FUN_034793,gene
96,FUN_034988,gene
97,FUN_035547,gene
98,FUN_006067,gene
99,FUN_024281,gene
100,FUN_024316,gene
101,FUN_025860,gene
102,FUN_025870,gene
103,FUN_026042,gene
104,FUN_027356,gene
105,FUN_037049,gene
106,FUN_038750,gene
107,FUN_038836,gene
108,FUN_038603,gene
109,FUN_042604,gene
110,FUN_044274,gene
111,FUN_008375,gene
112,FUN_016840,gene
113,FUN_008737,gene
114,FUN_004041,gene
115,FUN_005301,gene
116,FUN_002678,gene
117,FUN_008576,gene
118,FUN_011691,gene
119,FUN_014634,gene
120,FUN_017769,gene
121,FUN_018069,gene
122,FUN_022301,gene
123,FUN_025359,gene
124,FUN_026711,gene
125,FUN_032601,gene
126,FUN_037106,gene
127,FUN_037145,gene
128,FUN_040472,gene
129,FUN_001310,gene
130,FUN_008398,gene
131,FUN_008435,gene
132,FUN_011416,gene
133,FUN_014657,gene
134,FUN_015056,gene
135,FUN_014500,gene
136,FUN_017777,gene
137,FUN_021928,gene
138,FUN_022907,gene
139,FUN_022827,gene
140,FUN_024561,gene
141,FUN_025652,gene
142,FUN_026294,gene
143,FUN_029195,gene
144,FUN_029260,gene
145,FUN_031783,gene
146,FUN_033937,gene
147,FUN_033700,gene
148,FUN_034880,gene
149,FUN_038784,gene
150,FUN_038809,gene
151,FUN_039878,gene
152,FUN_041950,gene
153,FUN_006087,gene
154,FUN_006089,gene
155,FUN_002508,gene
156,FUN_009598,gene
157,FUN_018039,gene
158,FUN_027732,gene
159,FUN_032597,gene
160,FUN_038954,gene
161,FUN_039381,gene
162,FUN_040518,gene
163,FUN_006911,gene
164,FUN_006912,gene
165,FUN_006915,gene
166,FUN_028063,gene
167,FUN_032110,gene
168,FUN_035045,gene
169,FUN_008694,gene
170,FUN_016069,gene
171,FUN_025511,gene
172,FUN_001808,gene
173,FUN_000443,gene
174,FUN_005080,gene
175,FUN_005087,gene
176,FUN_005090,gene
177,FUN_034767,gene
178,FUN_037200,gene
179,FUN_038782,gene
180,FUN_000442,gene
181,FUN_007079,gene
182,FUN_006140,gene
183,FUN_008590,gene
184,FUN_008079,gene
185,FUN_023695,gene
186,FUN_026358,gene
187,FUN_031919,gene
188,FUN_031971,gene
189,FUN_031973,gene
190,FUN_032657,gene
191,FUN_008325,gene
192,FUN_011949,gene
193,FUN_022912,gene
194,FUN_015940,gene
195,FUN_018186,gene
196,FUN_026257,gene
197,FUN_026270,gene
198,FUN_027797,gene
199,FUN_043580,gene
200,FUN_001912,gene
201,FUN_008072,gene
202,FUN_016328,gene
203,FUN_003885,gene
204,FUN_013962,gene
205,FUN_017265,gene
206,FUN_038519,gene
207,FUN_043163,gene
208,FUN_026905,gene
209,FUN_025975,gene
210,FUN_016891,gene
211,FUN_003602,gene
212,FUN_004823,gene
213,FUN_010858,gene
214,FUN_022574,gene
215,FUN_024469,gene
216,FUN_022352,gene
217,FUN_014179,gene
218,FUN_014180,gene
219,FUN_022304,gene
220,FUN_035137,gene
221,FUN_039958,gene
222,FUN_022771,gene
223,FUN_032052,gene
224,FUN_001927,gene
225,FUN_009784,gene
226,FUN_027878,gene
227,FUN_037109,gene
228,FUN_040516,gene
229,FUN_004800,gene
230,FUN_027906,gene
231,FUN_028922,gene
232,FUN_034222,gene
233,FUN_022643,gene
234,FUN_004255,gene
235,FUN_018759,gene
236,FUN_032684,gene
237,FUN_041447,gene
238,FUN_008750,gene
239,FUN_009630,gene
240,FUN_016910,gene
241,FUN_018153,gene
242,FUN_028434,gene
243,FUN_018267,gene
244,FUN_012903,gene
245,FUN_037576,gene
246,FUN_034958,gene
247,FUN_006579,gene
248,FUN_008999,gene
249,FUN_011398,gene
250,FUN_022320,gene
251,FUN_002861,gene
252,FUN_007778,gene
253,FUN_009033,gene
254,FUN_009206,gene
255,FUN_041419,gene
256,FUN_013051,gene
257,FUN_011059,gene
258,FUN_027717,gene
259,FUN_009162,gene
260,FUN_031330,gene
261,FUN_032861,gene
262,FUN_017000,gene
263,FUN_037284,gene
264,FUN_029236,gene
265,FUN_005779,gene
266,FUN_037366,gene
267,lncRNA_22074,lncRNA
268,lncRNA_5655,lncRNA
269,lncRNA_2991,lncRNA
270,lncRNA_6836,lncRNA
271,lncRNA_8107,lncRNA
272,lncRNA_12250,lncRNA
273,lncRNA_20089,lncRNA
274,lncRNA_12088,lncRNA
275,lncRNA_16145,lncRNA
276,lncRNA_22068,lncRNA
277,lncRNA_17809,lncRNA
278,lncRNA_14157,lncRNA
279,lncRNA_218,lncRNA
280,lncRNA_2866,lncRNA
281,lncRNA_14164,lncRNA
282,lncRNA_13045,lncRNA
